month,region,actual_revenue_usd,plan_revenue_usd,forecast_revenue_usd,gross_margin_pct,plan_gross_margin_pct,marketing_spend_usd,operating_expense_usd,inventory_investment_usd,working_capital_change_usd,operating_cash_flow_usd,capex_usd,free_cash_flow_usd,demand_index,stockout_days,regional_commentary
2026-01,North America,612000,640000,628000,0.535,0.540,96000,176000,142000,48000,82000,18000,64000,72,0,"Winter demand was below plan; finance treated the shortfall as seasonal rather than structural."
2026-01,Latin America,252000,270000,265000,0.421,0.440,54000,84000,62000,23000,18000,9000,9000,66,0,"Demand was soft and FX pressure reduced gross margin conversion."
2026-01,Europe,318000,335000,330000,0.471,0.485,62000,102000,68000,26000,27000,11000,16000,69,0,"Europe started the year slightly below plan with muted winter conversion."
2026-01,Asia Pacific,276000,300000,292000,0.506,0.515,51000,91000,64000,21000,31000,10000,21000,64,0,"Australia off-season softness outweighed stable Japan demand."
2026-02,North America,646000,665000,660000,0.542,0.543,101000,181000,148000,52000,89000,19000,70000,74,0,"Demand improved modestly but remained below spring build expectations."
2026-02,Latin America,281000,286000,284000,0.428,0.442,57000,87000,68000,26000,23000,9000,14000,70,0,"Brazil showed early demand improvement, but margin remained sensitive to FX."
2026-02,Europe,332000,350000,344000,0.475,0.487,64000,105000,70000,27000,30000,11000,19000,71,0,"UK and Germany were close to forecast but still below plan."
2026-02,Asia Pacific,286000,312000,304000,0.511,0.516,52000,93000,65000,22000,33000,10000,23000,65,0,"Japan was stable; Australia remained seasonally light."
2026-03,North America,724000,705000,718000,0.552,0.546,108000,188000,164000,59000,112000,20000,92000,82,1,"Early warm weather lifted demand; inventory cover started tightening."
2026-03,Latin America,326000,310000,318000,0.436,0.444,61000,92000,78000,31000,34000,10000,24000,78,0,"Mexico and Brazil both improved, but logistics costs rose."
2026-03,Europe,351000,372000,360000,0.478,0.489,68000,108000,74000,29000,32000,12000,20000,73,0,"Demand remained below plan despite higher marketing spend."
2026-03,Asia Pacific,302000,326000,318000,0.518,0.518,54000,95000,68000,24000,37000,11000,26000,67,0,"Japan offset some Australia off-season weakness."
2026-04,North America,806000,760000,784000,0.563,0.550,116000,196000,190000,72000,128000,22000,106000,91,2,"Demand accelerated ahead of plan, but stock availability became a constraint."
2026-04,Latin America,388000,345000,370000,0.438,0.446,70000,99000,98000,41000,41000,11000,30000,88,1,"Brazil demand grew sharply, while FX and freight limited cash conversion."
2026-04,Europe,366000,405000,385000,0.472,0.491,72000,112000,79000,33000,28000,12000,16000,74,0,"Europe missed plan as return rates started to rise."
2026-04,Asia Pacific,316000,340000,330000,0.522,0.520,56000,97000,70000,26000,41000,11000,30000,68,0,"Japan stayed healthy; Australia remained out of season."
2026-05,North America,952000,860000,910000,0.574,0.554,130000,210000,232000,91000,154000,24000,130000,104,2,"Warm weather and strong paid search produced a high-quality beat."
2026-05,Latin America,463000,392000,430000,0.432,0.448,80000,108000,122000,57000,45000,12000,33000,99,1,"Demand beat plan, but cash conversion lagged due to inventory and FX pressure."
2026-05,Europe,382000,430000,405000,0.466,0.492,76000,116000,83000,36000,24000,13000,11000,75,0,"Europe remained unfavorable, led by returns and weaker conversion."
2026-05,Asia Pacific,326000,352000,340000,0.526,0.521,58000,99000,72000,27000,43000,12000,31000,69,0,"Japan was steady; Australia was not a current investment priority."
2026-06,North America,1128000,1005000,1072000,0.575,0.556,156000,226000,286000,118000,182000,25000,157000,121,4,"North America produced the cleanest growth, though stockouts limited upside."
2026-06,Latin America,522000,435000,488000,0.444,0.449,98000,121000,148000,72000,56000,13000,43000,112,2,"Latin America demand was strong but free cash flow conversion needs review."
2026-06,Europe,368000,445000,410000,0.475,0.493,80000,119000,82000,38000,19000,13000,6000,73,0,"Europe underperformed due to weak conversion and elevated returns."
2026-06,Asia Pacific,334000,360000,345000,0.524,0.522,57000,101000,76000,29000,45000,12000,33000,70,1,"Asia Pacific was stable overall, with Japan offsetting Australia off-season weakness."
